GMT Date/Time,Cruise,Station #,Station Name,Alternate Station Name,Latitude,Longitude,Depth (m)
  Aug 12 2017  08:15:07,AMBON 2017,25, ML6.11,,71.3615,-159.693167,51
  Aug 12 2017  13:04:02,AMBON 2017,26, ML4.3,,71.063167,-159.882,58
  Aug 12 2017  16:36:13,AMBON 2017,27, ML4.2,,70.932667,-159.504667,48
  Aug 12 2017  18:34:22,AMBON 2017,28, ML4.1,,70.892333,-159.396,29
  Aug 13 2017  01:26:22,AMBON 2017,29, ML4.5,,71.323833,-160.656667,50
  Aug 13 2017  05:36:44,AMBON 2017,30, ML4.6,,71.454833,-161.037333,48
  Aug 13 2017  09:09:10,AMBON 2017,31, ML4.7,,71.588333,-161.401333,48
  Aug 13 2017  12:14:06,AMBON 2017,32, ML4.8,ML4.4,71.7195,-161.773333,45
  Aug 13 2017  16:16:22,AMBON 2017,33, ML4.9,,71.850667,-162.158,43
  Aug 13 2017  19:27:35,AMBON 2017,34, ML4.10,,71.980667,-162.541667,33
  Aug 13 2017  22:36:47,AMBON 2017,35, ML4.11,,72.11,-162.921833,41
  Aug 14 2017  02:40:05,AMBON 2017,36, ML4.12,,72.238833,-163.316833,41
  Aug 14 2017  05:34:27,AMBON 2017,37, ML4.13,,72.364667,-163.722333,45
  Aug 14 2017  08:33:49,AMBON 2017,38, ML4.14,,72.496833,-164.102,50
  Aug 14 2017  21:07:38,AMBON 2017,39, CEO16,,71.601833,-161.519833,47
  Aug 15 2017  03:56:56,AMBON 2017,40, CEO17,,71.605667,-161.462667,48
  Aug 15 2017  05:52:11,AMBON 2017,41, ML5.10,,71.603167,-162.203833,45
  Aug 15 2017  08:43:53,AMBON 2017,42, ML5.9,,71.483,-162.604,45
  Aug 15 2017  19:41:33,AMBON 2017,43, ML3.14,,72.120333,-165.359667,47
  Aug 16 2017  00:10:07,AMBON 2017,44, ML3.13,,71.9925,-164.953,42
  Aug 16 2017  03:00:35,AMBON 2017,45, ML3.12,,71.869833,-164.556833,41
  Aug 16 2017  05:54:36,AMBON 2017,46, ML3.11,,71.743667,-164.159,40
  Aug 16 2017  09:11:36,AMBON 2017,47, ML3.10,DBO4.6,71.616833,-163.765167,43
  Aug 16 2017  11:21:02,AMBON 2017,48, ML3.9A,DBO4.5A,71.554833,-163.571167,43
  Aug 16 2017  12:15:11,AMBON 2017,49, ML3.9,DBO4.5,71.4915,-163.384833,44
  Aug 16 2017  14:16:21,AMBON 2017,50, ML3.8A,DBO4.4A,71.4285,-163.2,44
  Aug 16 2017  15:10:35,AMBON 2017,51, ML3.8,DBO4.4 AND ML5.8,71.3615,-163.0025,47
  Aug 16 2017  18:11:04,AMBON 2017,52, ML3.7A,DBO4.3A,71.295667,-162.810333,48
  Aug 16 2017  19:08:18,AMBON 2017,53, ML3.7,DBO4.3,71.233167,-162.628667,47
  Aug 16 2017  21:23:05,AMBON 2017,54, ML3.6A,DBO4.2A,71.171,-162.45,47
  Aug 16 2017  22:18:08,AMBON 2017,55, ML3.6,DBO4.2,71.103667,-162.254167,47
  Aug 17 2017  01:28:24,AMBON 2017,56, ML3.5A,DBO4.1A,71.0405,-162.089167,46
  Aug 17 2017  02:23:29,AMBON 2017,57, ML3.5,DBO4.1,70.972,-161.900333,47
  Aug 17 2017  04:53:05,AMBON 2017,58, ML3.4A,DBO4.0A,70.906833,-161.718167,46
  Aug 17 2017  05:51:04,AMBON 2017,59, ML3.4,ML1.7,70.843,-161.537167,46
  Aug 17 2017  08:24:58,AMBON 2017,60, ML3.3,,70.714167,-161.179,44
  Aug 17 2017  11:22:28,AMBON 2017,61, ML3.2,,70.577667,-160.834667,29
  Aug 17 2017  14:07:26,AMBON 2017,62, ML3.1,,70.495833,-160.621,19
  Aug 17 2017  23:13:05,AMBON 2017,63, ML1.1,,70.036333,-162.7665,16
  Aug 18 2017  01:29:06,AMBON 2017,64, ML1.2,,70.141667,-163.052,23
  Aug 18 2017  04:18:15,AMBON 2017,65, ML1.3,ML6.2,70.2665,-163.408167,32
  Aug 18 2017  06:30:55,AMBON 2017,66, ML1.4,,70.397667,-163.764167,37
  Aug 18 2017  09:16:20,AMBON 2017,67, ML1.5,,70.524167,-164.1265,45
  Aug 18 2017  12:41:08,AMBON 2017,68, ML1.6,,70.6465,-164.501667,47
  Aug 18 2017  16:27:03,AMBON 2017,69, ML1.7,,70.771667,-164.8825,41
  Aug 18 2017  19:41:24,AMBON 2017,70, ML1.8,ML5.3,70.897333,-165.251667,43
  Aug 18 2017  23:27:14,AMBON 2017,71, ML1.9,,71.0205,-165.641,44
  Aug 19 2017  03:06:35,AMBON 2017,72, ML1.10,,71.141833,-166.032667,44
  Aug 19 2017  06:18:29,AMBON 2017,73, ML1.11,,71.266,-166.419667,45
  Aug 19 2017  09:10:35,AMBON 2017,74, ML1.12,,71.386333,-166.8195,47
  Aug 19 2017  12:00:56,AMBON 2017,75, ML1.13,,71.507333,-167.219167,49
  Aug 19 2017  23:39:05,AMBON 2017,76, ML5.7,,71.241167,-163.403333,45
  Aug 20 2017  02:24:10,AMBON 2017,77, ML5.6,,71.1185,-163.802333,44
  Aug 20 2017  05:37:34,AMBON 2017,78, ML5.5,,71.147,-164.485167,43
  Aug 20 2017  08:53:18,AMBON 2017,79, ML5.4,,71.022667,-164.875667,36
  Aug 20 2017  12:46:59,AMBON 2017,80, ML5.3,ML1.8,70.896833,-165.252667,42
  Aug 20 2017  14:16:46,AMBON 2017,81, ML5.2,,70.772,-165.627167,42
  Aug 20 2017  17:34:30,AMBON 2017,82, ML5.1,,70.647833,-165.995667,43
  Aug 21 2017  06:38:04,AMBON 2017,83, BBL1,,69.344167,-163.509,15
  Aug 21 2017  09:09:05,AMBON 2017,84, BBL2,,69.450333,-163.920667,23
  Aug 21 2017  11:56:34,AMBON 2017,85, BBL3,,69.5485,-164.4225,27
  Aug 21 2017  16:13:25,AMBON 2017,86, BBL4,,69.6405,-164.814167,32
  Aug 21 2017  19:26:38,AMBON 2017,87, BBL5,,69.7335,-165.214667,36
  Aug 21 2017  22:18:48,AMBON 2017,88, BBL6,,69.824,-165.630667,41
  Aug 22 2017  05:24:27,AMBON 2017,89, BBL7,,69.917,-166.055833,45
  Aug 22 2017  08:26:20,AMBON 2017,90, BBL8,,70.0055,-166.473,47
  Aug 22 2017  11:29:00,AMBON 2017,91, BBL9,,70.096833,-166.908,48
  Aug 22 2017  14:24:47,AMBON 2017,92, BBL10,,70.1925,-167.363833,51
  Aug 22 2017  18:19:21,AMBON 2017,93, BBL11,,70.280833,-167.8155,49
  Aug 22 2017  21:17:56,AMBON 2017,94, BBL12,,70.3695,-168.2795,46
