"station","latitude","longitude","SST","SSS","cruise","BT","BS"
"ML3.5",70.97244,-161.90082,7.4358,30.7623,"AMBON2015",-0.8881,32.2341
"ML3.5A",71.04066,-162.08704,7.6453,30.639,"AMBON2015",-0.9266,32.2369
"ML3.6",71.10416,-162.25441,7.5261,30.7732,"AMBON2015",-1.1979,32.2688
"ML3.6A",71.17125,-162.45303,5.8802,30.1652,"AMBON2015",-1.31,32.2766
"ML3.7",71.23314,-162.63547,5.9818,29.6814,"AMBON2015",-1.2604,32.2537
"ML3.7A",71.2959,-162.81099,5.7622,29.4112,"AMBON2015",-0.575,32.2216
"ML3.8",71.36145,-163.00332,5.762,29.0882,"AMBON2015",-0.2818,32.2048
"ML3.8A",71.42884,-163.20049,5.9432,29.4881,"AMBON2015",0.324,32.2203
"ML3.9",71.48772,-163.39234,5.5842,30.0167,"AMBON2015",0.7026,32.2275
"ML3.9A",71.55506,-163.57076,5.6773,30.3385,"AMBON2015",0.6916,32.224
"ML4.1",70.89205,-159.39405,7.5959,30.893,"AMBON2015",3.7614,31.4305
"ML4.10",71.97946,-162.54168,4.348,27.2835,"AMBON2015",-1.2175,32.0627
"ML4.105",72.04492,-162.73188,4.2608,27.1712,"AMBON2015",-1.2958,32.2765
"ML4.11",72.10858,-162.9241,4.2238,26.6898,"AMBON2015",0.2338,32.2099
"ML4.115",72.16884,-163.10966,4.301,27.2597,"AMBON2015",0.9647,32.1672
"ML4.12",72.23872,-163.3185,6.3986,31.0769,"AMBON2015",0.2559,32.1645
"ML4.13",72.36435,-163.72246,7.1694,31.3496,"AMBON2015",-0.1088,32.3356
"ML4.14",72.49655,-164.103,5.4278,30.9719,"AMBON2015",-1.1484,32.4775
"ML4.2",70.93191,-159.50535,8.1634,30.5768,"AMBON2015",0.7529,32.0862
"ML4.3",71.06318,-159.88321,6.9842,30.6681,"AMBON2015",-1.6341,32.4686
"ML4.4",71.19244,-160.27021,4.6053,29.6203,"AMBON2015",-1.65,32.4721
"ML4.5",71.3235,-160.65522,4.7775,28.2134,"AMBON2015",-1.6422,32.4573
"ML4.6",71.45436,-161.03779,4.6807,28.6748,"AMBON2015",-1.6296,32.4498
"ML4.7",71.58776,-161.40087,4.5896,27.3991,"AMBON2015",-1.5684,32.3288
"ML4.8",71.71912,-161.77394,4.5099,26.9323,"AMBON2015",-1.4375,32.1131
"ML4.9",71.85069,-162.15847,4.1238,26.935,"AMBON2015",-1.4401,32.1386
"ML5.1",70.64795,-165.9959,5.5213,31.7744,"AMBON2015",5.4707,31.7758
"ML5.10",71.60273,-162.20243,2.3209,30.7764,"AMBON2015",-0.313,32.196
"ML5.11",71.72095,-161.78098,2.6603,30.3913,"AMBON2015",-1.0646,32.1957
"ML5.2",70.772,-165.62756,5.0143,31.8723,"AMBON2015",5.0103,31.8734
"ML5.3",70.89732,-165.25252,4.8237,31.9015,"AMBON2015",4.8077,31.9021
"ML5.4",71.02253,-164.87625,4.4473,31.9335,"AMBON2015",4.0442,31.9754
"ML5.5",71.14675,-164.48722,4.0862,31.9109,"AMBON2015",4.0921,31.9103
"ML5.6",71.11796,-163.80578,4.2887,31.8451,"AMBON2015",4.233,31.8987
"ML5.7",71.24074,-163.40356,4.4086,31.6438,"AMBON2015",2.8658,32.0816
"ML5.8",71.36277,-163.00726,4.6773,31.3127,"AMBON2015",1.2374,32.0612
"ML5.9",71.48259,-162.60493,4.3926,31.1106,"AMBON2015",1.4279,32.1649
"ML6.1",70.08688,-163.95911,9.4129,30.7149,"AMBON2015",5.8705,31.0286
"ML6.11",71.36067,-159.69266,4.8488,28.0808,"AMBON2015",-1.6553,32.4734
"ML6.2",70.26691,-163.40755,9.1951,30.7245,"AMBON2015",7.3361,30.9119
"ML6.3",70.38951,-163.0211,9.0605,30.7657,"AMBON2015",7.8044,30.9232
"ML6.4",70.50917,-162.64351,8.9945,30.8154,"AMBON2015",6.2849,31.093
"ML6.5",70.62642,-162.24908,8.6224,31.0146,"AMBON2015",5.4637,31.2818
"ML6.6",70.72555,-161.94043,8.6176,31.0192,"AMBON2015",5.2377,31.4477
"ML6.7",70.84337,-161.53857,8.7426,30.7308,"AMBON2015",4.9265,31.672
"ML6.8",70.9595,-161.13793,8.6609,30.4052,"AMBON2015",2.7151,31.5758
"ML6.9",71.07513,-160.73564,8.0185,30.501,"AMBON2015",1.2559,32.1501
"BBL1",69.34423,-163.50932,9.8612,29.8181,"AMBON2017",8.8253,30.1295
"BBL10",70.19264,-167.36397,6.6742,32.3966,"AMBON2017",3.8871,32.7524
"BBL11",70.28096,-167.81544,6.6823,31.9961,"AMBON2017",1.6739,32.4987
"BBL12",70.36942,-168.2801,6.8048,31.9687,"AMBON2017",1.4907,32.3594
"BBL2",69.45039,-163.92095,8.5336,30.3101,"AMBON2017",7.7513,30.5242
"BBL3",69.54871,-164.42244,8.6718,30.5975,"AMBON2017",7.5385,30.8957
"BBL4",69.6409,-164.81395,8.9181,30.6397,"AMBON2017",7.2519,31.7777
"BBL5",69.73386,-165.21409,9.1551,30.8096,"AMBON2017",7.2665,31.8921
"BBL6",69.82622,-165.63046,8.8821,31.0196,"AMBON2017",5.8548,32.112
"BBL7",69.91718,-166.05575,8.4457,31.2757,"AMBON2017",5.5286,32.2242
"BBL8",70.0056,-166.47253,8.1313,31.607,"AMBON2017",5.4283,32.2573
"BBL9",70.09693,-166.90823,7.4543,31.987,"AMBON2017",5.2053,32.4544
"CEO16",71.60198,-161.5206,4.5152,30.8853,"AMBON2017",0.5837,32.2152
"CEO17",71.60578,-161.46295,4.0591,30.6813,"AMBON2017",0.4952,32.2212
"CL0",68.89929,-166.4263,11.8829,28.1247,"AMBON2017",9.8753,31.0515
"CL1",68.94888,-166.90742,9.9856,31.0775,"AMBON2017",7.2338,31.9006
"CL1.5",69.00011,-167.43514,8.0793,31.8975,"AMBON2017",6.2204,32.1015
"CL2",69.02888,-167.93431,9.0415,31.4958,"AMBON2017",5.4026,32.2193
"CL2.5",69.0303,-168.41156,7.5084,32.1687,"AMBON2017",4.7003,32.3371
"CL3",69.03336,-168.89338,7.2769,32.2452,"AMBON2017",4.3288,32.3253
"DBO3.1",68.29911,-166.93798,11.2541,30.7105,"AMBON2017",10.549,31.0114
"DBO3.2",68.24323,-167.12509,9.8826,31.4581,"AMBON2017",8.5639,31.4766
"DBO3.3",68.18598,-167.30568,9.6199,31.6411,"AMBON2017",7.6943,31.8461
"DBO3.4",68.1242,-167.4976,9.7164,31.7088,"AMBON2017",4.8102,32.0533
"DBO3.5",68.01199,-167.8666,7.5587,32.0605,"AMBON2017",3.9081,32.242
"DBO3.6",67.897,-168.23686,8.0232,31.5036,"AMBON2017",3.9387,32.5151
"DBO3.7",67.78355,-168.60471,8.0272,32.0062,"AMBON2017",3.9737,32.7586
"DBO3.8",67.66664,-168.9555,6.7333,32.7049,"AMBON2017",4.1382,32.6324
"ML1.1",70.0367,-162.76591,9.2439,29.9239,"AMBON2017",9.1423,30.0905
"ML1.10",71.14178,-166.0329,6.9688,32.0882,"AMBON2017",3.8141,32.5894
"ML1.11",71.26601,-166.42015,6.8489,32.2153,"AMBON2017",4.197,32.594
"ML1.12",71.38644,-166.81969,6.8098,32.1939,"AMBON2017",4.0447,32.6607
"ML1.13",71.50734,-167.2193,6.5838,32.0258,"AMBON2017",3.0412,32.6659
"ML1.2",70.14296,-163.04913,6.5406,31.1156,"AMBON2017",6.4587,31.1085
"ML1.3",70.26661,-163.40803,8.0124,31.066,"AMBON2017",6.1267,31.7262
"ML1.4",70.39792,-163.76445,7.9528,31.3632,"AMBON2017",5.0083,32.0876
"ML1.5",70.5241,-164.12633,8.0706,31.2966,"AMBON2017",3.9657,32.3983
"ML1.6",70.64662,-164.50162,7.4376,31.8416,"AMBON2017",4.2408,32.6407
"ML1.7",70.77169,-164.8824,7.1928,32.0747,"AMBON2017",4.2102,32.6218
"ML1.8",70.89745,-165.25178,7.1184,31.9358,"AMBON2017",3.6895,32.4418
"ML1.9",71.02046,-165.64171,7.1806,31.9904,"AMBON2017",3.8489,32.5775
"ML3.1",70.4963,-160.62127,8.5431,30.8472,"AMBON2017",8.5329,30.8579
"ML3.10",71.61697,-163.76487,5.1845,31.4836,"AMBON2017",0.065,32.3265
"ML3.11",71.74371,-164.15894,5.1616,31.5171,"AMBON2017",0.3658,32.3891
"ML3.12",71.86983,-164.55652,5.5836,31.8608,"AMBON2017",1.8255,32.6409
"ML3.13",71.99267,-164.95209,5.5669,31.7928,"AMBON2017",2.8444,32.6776
"ML3.14",72.12053,-165.35925,5.8188,32.0008,"AMBON2017",3.4846,32.6483
"ML3.2",70.57823,-160.83237,6.5929,31.6604,"AMBON2017",5.2327,32.0963
"ML3.3",70.71434,-161.17891,3.7848,32.2259,"AMBON2017",3.0011,32.2718
"ML3.4",70.84332,-161.5372,3.2206,32.2605,"AMBON2017",2.7882,32.256
"ML3.4A",70.90706,-161.71877,6.0015,31.5873,"AMBON2017",2.8586,32.1652
"ML3.5",70.97226,-161.90079,8.5914,30.7005,"AMBON2017",2.4563,32.1347
"ML3.5A",71.04072,-162.08896,8.5628,30.7087,"AMBON2017",1.3647,32.1118
"ML3.6",71.10389,-162.25372,7.8285,30.9437,"AMBON2017",0.5331,32.0928
"ML3.6A",71.17122,-162.44969,5.4354,31.281,"AMBON2017",0.621,32.2585
"ML3.7",71.23335,-162.62877,5.2153,31.1925,"AMBON2017",0.5111,32.2605
"ML3.7A",71.2958,-162.81011,5.3789,31.2702,"AMBON2017",0.5008,32.2471
"ML3.8",71.36162,-163.00252,5.1399,31.1883,"AMBON2017",0.5678,32.251
"ML3.8A",71.42871,-163.19955,5.3788,31.4196,"AMBON2017",0.5826,32.2674
"ML3.9",71.49162,-163.38488,5.2959,31.2555,"AMBON2017",0.1063,32.2368
"ML3.9A",71.55508,-163.57077,5.1949,31.3946,"AMBON2017",0.2627,32.234
"ML4.1",70.89219,-159.39635,10.0673,30.5412,"AMBON2017",9.411,30.5367
"ML4.10",71.98072,-162.54225,3.8581,30.1486,"AMBON2017",0.2321,31.6532
"ML4.11",72.10996,-162.92215,4.7892,31.3508,"AMBON2017",0.1264,32.4073
"ML4.12",72.23899,-163.31745,5.1064,31.4431,"AMBON2017",2.335,32.6453
"ML4.13",72.3647,-163.72276,6.1747,31.7907,"AMBON2017",2.1516,32.5812
"ML4.14",72.49688,-164.10247,5.1661,31.1059,"AMBON2017",1.4197,32.5223
"ML4.2",70.93274,-159.5044,9.2222,30.5424,"AMBON2017",7.7359,31.6159
"ML4.3",71.06288,-159.88269,5.5965,31.3174,"AMBON2017",2.1011,32.6004
"ML4.5",71.32377,-160.65693,4.8976,30.8658,"AMBON2017",0.504,32.1544
"ML4.6",71.45469,-161.03766,5.0551,31.147,"AMBON2017",0.6295,32.224
"ML4.7",71.58829,-161.40209,4.8758,31.2263,"AMBON2017",0.3417,32.2967
"ML4.8",71.71952,-161.77378,4.3529,30.5238,"AMBON2017",0.1256,32.1182
"ML4.9",71.85056,-162.15854,4.1063,30.3795,"AMBON2017",-0.2089,31.9031
"ML5.1",70.64798,-165.9955,7.7306,31.7332,"AMBON2017",4.3827,32.1902
"ML5.10",71.60331,-162.20445,5.0072,31.3083,"AMBON2017",0.5936,32.242
"ML5.2",70.77188,-165.62737,7.2745,31.9153,"AMBON2017",4.0923,32.4585
"ML5.3",70.89682,-165.25312,7.2125,31.9345,"AMBON2017",3.8345,32.5265
"ML5.4",71.02242,-164.87665,7.1502,31.9496,"AMBON2017",3.8913,32.3818
"ML5.5",71.14696,-164.48527,6.1284,31.9269,"AMBON2017",4.0898,32.6207
"ML5.6",71.11852,-163.80297,5.8582,31.7033,"AMBON2017",1.3539,32.4873
"ML5.7",71.2412,-163.40613,6.0627,31.6967,"AMBON2017",1.3324,32.4556
"ML5.9",71.48306,-162.60444,5.0415,31.2861,"AMBON2017",0.7973,32.1856
"ML6.1",70.08709,-163.96042,9.879,30.5561,"AMBON2017",4.4455,31.271
"ML6.10",71.1941,-160.27016,5.0473,31.0707,"AMBON2017",0.3712,32.3041
"ML6.11",71.36123,-159.69374,3.8178,30.408,"AMBON2017",0.1478,32.3177
"ML6.2",70.26775,-163.40397,9.696,29.9632,"AMBON2017",3.9112,31.1466
"ML6.3",70.38934,-163.02515,9.4616,30.8929,"AMBON2017",4.3888,31.3304
"ML6.4",70.50934,-162.64214,9.4724,31.0089,"AMBON2017",4.5352,31.3795
"ML6.5",70.62676,-162.24648,9.1696,31.2232,"AMBON2017",5.1359,31.5331
"ML6.6",70.72566,-161.93884,8.9276,31.3348,"AMBON2017",4.3549,31.7822
"ML6.7",70.84356,-161.53725,7.8055,32.2069,"AMBON2017",4.7555,32.1617
"ML6.8",70.96048,-161.13492,6.1483,31.805,"AMBON2017",4.2138,32.6674
"ML6.9",71.07462,-160.7381,5.9801,31.527,"AMBON2017",2.1924,32.621
