cruise,station,depth,O18,layer,salinity,latitude,longitude
AMBON2015, DBO3.4,10.3,-1.62845355,,32.0186,68.1248,-167.4978
AMBON2015, DBO3.4,20.678,-1.240037725,,32.0358,68.1248,-167.4978
AMBON2015, DBO3.4,31.456,-1.653877131,,32.0311,68.1248,-167.4978
AMBON2015, DBO3.4,44.327,-0.77958842,Bottom,32.0327,68.1248,-167.4978
AMBON2015, DBO3.5,4.454,-1.251337095,Surface,31.7482,68.0115,-167.8657
AMBON2015, DBO3.5,10.781,-1.083258974,,31.755,68.0115,-167.8657
AMBON2015, DBO3.5,22.089,-0.248518056,,32.0593,68.0115,-167.8657
AMBON2015, DBO3.5,29.916,-0.81489895,,32.1243,68.0115,-167.8657
AMBON2015, DBO3.5,46.672,-1.008400652,Bottom,32.2588,68.0115,-167.8657
AMBON2015, DBO3.6,4.081,-0.152473416,Surface,32.4114,67.897,-168.2368
AMBON2015, DBO3.6,9.174,-0.310664588,,32.4227,67.897,-168.2368
AMBON2015, DBO3.6,20.421,-0.468855761,,32.5461,67.897,-168.2368
AMBON2015, DBO3.6,29.739,-0.333263327,,32.5865,67.897,-168.2368
AMBON2015, DBO3.6,39.012,-0.48015513,,32.5921,67.897,-168.2368
AMBON2015, DBO3.6,54.013,-0.391172596,Bottom,32.6036,67.897,-168.2368
AMBON2015, DBO3.7,4.831,-1.136930979,Surface,32.6858,67.7835,-168.6048
AMBON2015, DBO3.7,11.048,-1.223088671,,32.6904,67.7835,-168.6048
AMBON2015, DBO3.7,21.444,-1.37704258,,32.6761,67.7835,-168.6048
AMBON2015, DBO3.7,31.281,-1.225913514,Bottom,32.6897,67.7835,-168.6048
AMBON2015, DBO3.8,5.038,-1.213193399,Surface,32.6484,67.6672,-168.955
AMBON2015, DBO3.8,9.731,-1.090042136,,32.6488,67.6672,-168.955
AMBON2015, DBO3.8,20.963,-1.1531093,,32.7466,67.6672,-168.955
AMBON2015, DBO3.8,30.597,-0.615747564,,32.7462,67.6672,-168.955
AMBON2015, DBO3.8,43.822,-0.570550086,Bottom,32.7452,67.6672,-168.955
AMBON2015, ML1.1,4.16,-2.657458112,Surface,29.8026,70.0358,-162.7657
AMBON2015, ML1.1,11.195,-2.303886101,Bottom,30.5858,70.0358,-162.7657
AMBON2015, ML1.10,5.004,-1.094737745,Surface,31.9133,71.1432,-166.0282
AMBON2015, ML1.10,37.471,-0.79094466,Bottom,32.3572,71.1432,-166.0282
AMBON2015, ML1.11,5.159,-1.140745281,Surface,31.8856,71.2663,-166.42
AMBON2015, ML1.11,37.772,-1.001971808,Bottom,32.396,71.2663,-166.42
AMBON2015, ML1.12,3.893,-1.255354558,Surface,31.7977,71.3862,-166.82
AMBON2015, ML1.12,38.332,-1.475921103,Bottom,32.321,71.3862,-166.82
AMBON2015, ML1.13,5.333,-1.532560202,Surface,31.7354,71.5073,-167.2205
AMBON2015, ML1.13,42.403,-1.258648125,Bottom,32.3792,71.5073,-167.2205
AMBON2015, ML1.2,4.531,-2.42878564,Surface,30.6812,70.1407,-163.051
AMBON2015, ML1.2,17.809,-2.212536568,Bottom,30.7448,70.1407,-163.051
AMBON2015, ML1.3,4.61,-2.168013697,Surface,30.6855,70.2682,-163.4062
AMBON2015, ML1.3,26.342,-2.157774631,Bottom,30.7586,70.2682,-163.4062
AMBON2015, ML1.4,4.91,-1.88572265,Surface,30.9637,70.398,-163.765
AMBON2015, ML1.4,29.713,-1.60051347,Bottom,31.2104,70.398,-163.765
AMBON2015, ML1.5,4.988,-1.246258855,Surface,31.6826,70.524,-164.1265
AMBON2015, ML1.5,37.367,-1.37675575,Bottom,31.6987,70.524,-164.1265
AMBON2015, ML1.6,4.402,-1.090044839,Surface,31.8645,70.6468,-164.5018
AMBON2015, ML1.6,40.484,-1.191189745,Bottom,31.8781,70.6468,-164.5018
AMBON2015, ML1.7,4.826,-0.440922192,Surface,31.8987,70.772,-164.878
AMBON2015, ML1.7,33.903,-1.202145546,Bottom,31.8974,70.772,-164.878
AMBON2015, ML1.8,4.875,-0.77241195,Surface,31.8814,70.8967,-165.2537
AMBON2015, ML1.8,37.843,-0.937585148,Bottom,32.2928,70.8967,-165.2537
AMBON2015, ML1.9,4.846,-1.393616078,Surface,31.9086,71.0203,-165.641
AMBON2015, ML1.9,36.841,-1.076699924,Bottom,32.3423,71.0203,-165.641
AMBON2015, ML3.1,5.059,-1.304703778,Surface,31.494,70.4958,-160.622
AMBON2015, ML3.1,12.601,-1.631711911,Bottom,31.7878,70.4958,-160.622
AMBON2015, ML3.10,4.164,-1.18979684,Surface,30.0313,71.617,-163.7655
AMBON2015, ML3.10,36.331,-0.772231268,Bottom,32.2115,71.617,-163.7655
AMBON2015, ML3.11,4.844,-1.134472695,Surface,30.765,71.7453,-164.1662
AMBON2015, ML3.11,33.286,-1.015920955,Bottom,32.1773,71.7453,-164.1662
AMBON2015, ML3.12,4.774,-1.350500309,Surface,31.3801,71.8712,-164.556
AMBON2015, ML3.12,33.906,-1.270148575,Bottom,32.1096,71.8712,-164.556
AMBON2015, ML3.13,5.006,-1.434098731,Surface,31.1054,71.9935,-164.9537
AMBON2015, ML3.13,35.577,-0.843968698,Bottom,32.0849,71.9935,-164.9537
AMBON2015, ML3.14,5.45,-1.454292393,Surface,31.4223,72.12,-165.3588
AMBON2015, ML3.14,40.11,-1.149707094,Bottom,32.2274,72.12,-165.3588
AMBON2015, ML3.2,4.709,-2.577699726,Surface,30.8065,70.5778,-160.8357
AMBON2015, ML3.2,21.735,-1.351419226,Bottom,32.0101,70.5778,-160.8357
AMBON2015, ML3.3,4.96,-1.930982748,Surface,30.8045,70.7145,-161.1793
AMBON2015, ML3.3,34.948,-1.234630606,Bottom,32.0229,70.7145,-161.1793
AMBON2015, ML3.5,5.272,-1.272209291,Surface,30.8795,70.9725,-161.9008
AMBON2015, ML3.5,10.045,-1.25058989,,30.9821,70.9725,-161.9008
AMBON2015, ML3.5,19.795,-0.8369263,,31.8274,70.9725,-161.9008
AMBON2015, ML3.5,30.177,-0.688460874,,32.1815,70.9725,-161.9008
AMBON2015, ML3.5,40.711,-0.730703816,Bottom,32.2336,70.9725,-161.9008
AMBON2015, ML3.6,4.576,-1.586701434,Surface,30.7731,71.1038,-162.2552
AMBON2015, ML3.6,9.413,-1.316973202,,30.926,71.1038,-162.2552
AMBON2015, ML3.6,19.965,-1.082681434,,31.116,71.1038,-162.2552
AMBON2015, ML3.6,29.874,-0.838003717,,32.0674,71.1038,-162.2552
AMBON2015, ML3.6,42.325,-0.816317846,Bottom,32.2678,71.1038,-162.2552
AMBON2015, ML3.7,4.995,-0.907622473,Surface,30.2478,71.2328,-162.6355
AMBON2015, ML3.7,9.715,-0.545577754,,30.7977,71.2328,-162.6355
AMBON2015, ML3.7,19.96,-0.125138725,,31.5247,71.2328,-162.6355
AMBON2015, ML3.7,29.629,-0.27696393,,32.1835,71.2328,-162.6355
AMBON2015, ML3.7,41.309,-0.335358239,Bottom,32.2552,71.2328,-162.6355
AMBON2015, ML3.8,5.151,-1.187915159,Surface,29.5101,71.3617,-163.0028
AMBON2015, ML3.8,10.293,-0.936819628,,29.7948,71.3617,-163.0028
AMBON2015, ML3.8,20.157,-0.941199201,,31.4137,71.3617,-163.0028
AMBON2015, ML3.8,30.194,-0.840469017,,32.0825,71.3617,-163.0028
AMBON2015, ML3.8,40.196,-0.59959249,Bottom,32.2003,71.3617,-163.0028
AMBON2015, ML3.9,4.807,-1.269667192,Surface,30.6702,71.4878,-163.3925
AMBON2015, ML3.9,38.133,-1.059447678,Bottom,32.2273,71.4878,-163.3925
AMBON2015, ML4.1,3.473,-1.757188243,Surface,30.8933,70.8923,-159.3928
AMBON2015, ML4.1,22.901,-1.571298002,Bottom,31.4112,70.8923,-159.3928
AMBON2015, ML4.10,5.485,-1.662063713,Surface,27.2871,71.9795,-162.5413
AMBON2015, ML4.10,27.636,-1.523537155,Bottom,32.0604,71.9795,-162.5413
AMBON2015, ML4.11,4.302,-0.942215242,Surface,26.9316,72.109,-162.9238
AMBON2015, ML4.11,34.817,-0.79382208,Bottom,32.2085,72.109,-162.9238
AMBON2015, ML4.12,5.194,-1.621651053,Surface,31.2778,72.2387,-163.3172
AMBON2015, ML4.12,35.227,-1.227709871,Bottom,32.1605,72.2387,-163.3172
AMBON2015, ML4.13,5.169,-1.525331364,Surface,31.348,72.3645,-163.7218
AMBON2015, ML4.13,39.669,-0.953767809,Bottom,32.3325,72.3645,-163.7218
AMBON2015, ML4.14,5.293,-1.438925639,Surface,30.989,72.4965,-164.1027
AMBON2015, ML4.14,43.753,-0.870183264,Bottom,32.478,72.4965,-164.1027
AMBON2015, ML4.2,5.633,-2.019240069,Surface,30.5769,70.9322,-159.504
AMBON2015, ML4.2,40.888,-1.054156914,Bottom,32.0846,70.9322,-159.504
AMBON2015, ML4.3,4.867,-1.868759931,Surface,30.6672,71.0633,-159.8815
AMBON2015, ML4.3,51.325,-1.135420966,Bottom,32.4656,71.0633,-159.8815
AMBON2015, ML4.5,5.024,-1.366892116,Surface,28.263,71.3237,-160.6557
AMBON2015, ML4.5,45.039,-1.100864119,Bottom,32.4566,71.3237,-160.6557
AMBON2015, ML4.6,5.186,-1.425391313,Surface,28.8779,71.4545,-161.0375
AMBON2015, ML4.6,42.634,-1.081546415,Bottom,32.4502,71.4545,-161.0375
AMBON2015, ML4.7,5.459,-1.34259686,Surface,27.8994,71.588,-161.4005
AMBON2015, ML4.7,42.55,-1.01987268,Bottom,32.3297,71.588,-161.4005
AMBON2015, ML4.8,5.235,-1.248218405,Surface,26.9381,71.7193,-161.7733
AMBON2015, ML4.8,38.207,-1.141669662,Bottom,32.1114,71.7193,-161.7733
AMBON2015, ML4.9,4.671,-0.721729929,Surface,26.8182,71.8508,-162.1582
AMBON2015, ML4.9,36.285,-1.046262339,Bottom,32.1372,71.8508,-162.1582
AMBON2015, ML5.1,4.606,-1.346618766,Surface,31.7755,70.648,-165.9955
AMBON2015, ML5.1,36.943,-1.608909504,Bottom,31.7741,70.648,-165.9955
AMBON2015, ML5.10,6.106,-1.104703268,Surface,30.7775,71.6028,-162.2022
AMBON2015, ML5.10,34.76,-0.863826741,Bottom,32.1942,71.6028,-162.2022
AMBON2015, ML5.11,4.785,-1.771858254,Surface,30.405,71.721,-161.7812
AMBON2015, ML5.11,37.245,-1.328061502,Bottom,32.1951,71.721,-161.7812
AMBON2015, ML5.2,4.587,-1.286003496,Surface,31.8734,70.7718,-165.6275
AMBON2015, ML5.2,35.433,-1.317027865,Bottom,31.8733,70.7718,-165.6275
AMBON2015, ML5.3,5.742,-1.096444256,Surface,31.9022,70.8973,-165.2528
AMBON2015, ML5.3,33.99,-0.989275366,Bottom,31.902,70.8973,-165.2528
AMBON2015, ML5.4,4.814,-1.076478077,Surface,31.9346,71.0225,-164.8767
AMBON2015, ML5.4,27.408,-1.305150549,Bottom,31.95,71.0225,-164.8767
AMBON2015, ML5.5,5.511,-2.028793216,Surface,31.9112,71.1468,-164.4862
AMBON2015, ML5.5,36.489,-1.141199711,Bottom,31.9107,71.1468,-164.4862
AMBON2015, ML5.6,2.206,-1.282410361,Surface,31.8458,71.1182,-163.8055
AMBON2015, ML5.6,36.133,-1.463200272,Bottom,31.898,71.1182,-163.8055
AMBON2015, ML5.7,5.418,-2.446245414,Surface,31.6454,71.2412,-163.4035
AMBON2015, ML5.7,36.435,-1.10162045,Bottom,32.083,71.2412,-163.4035
AMBON2015, ML5.8,5.105,-1.187915159,Surface,31.3005,71.363,-163.0072
AMBON2015, ML5.8,10.378,-1.328061502,,31.3025,71.363,-163.0072
AMBON2015, ML5.8,20.944,-1.690106221,,31.3165,71.363,-163.0072
AMBON2015, ML5.8,29.352,-1.285725627,,31.339,71.363,-163.0072
AMBON2015, ML5.8,38.136,-1.453609267,Bottom,32.0628,71.363,-163.0072
AMBON2015, ML5.9,5.623,-0.430248992,Surface,31.1111,71.4828,-162.6043
AMBON2015, ML5.9,35.05,-0.236087913,Bottom,32.1618,71.4828,-162.6043
AMBON2015, ML6.1,5.466,-2.369189849,Surface,30.7181,70.087,-163.9603
AMBON2015, ML6.1,29.686,-2.989291572,Bottom,31.0265,70.087,-163.9603
AMBON2015, ML6.10,5.502,-2.138977988,Surface,29.455,71.1928,-160.2695
AMBON2015, ML6.10,30.372,-3.561833333,,32.2692,71.1928,-160.2695
AMBON2015, ML6.10,41.728,-0.98297834,,32.4707,71.1928,-160.2695
AMBON2015, ML6.10,49.859,-0.820714744,Bottom,32.471,71.1928,-160.2695
AMBON2015, ML6.11,5.226,-1.45380472,Surface,28.082,71.3612,-159.6925
AMBON2015, ML6.11,31.274,-1.102894867,Bottom,32.214,71.3612,-159.6925
AMBON2015, ML6.2,5.558,-2.156076652,Surface,30.7256,70.267,-163.4075
AMBON2015, ML6.2,27.612,-2.248083192,Bottom,30.9134,70.267,-163.4075
AMBON2015, ML6.3,4.51,-1.913530246,Surface,30.7662,70.3893,-163.022
AMBON2015, ML6.3,28.85,-1.936935045,Bottom,30.9203,70.3893,-163.022
AMBON2015, ML6.4,5.021,-2.787488204,Surface,30.8167,70.5093,-162.6438
AMBON2015, ML6.4,32.128,-2.561800402,Bottom,31.0912,70.5093,-162.6438
AMBON2015, ML6.5,4.384,-1.696410854,Surface,31.0179,70.6265,-162.2487
AMBON2015, ML6.5,31.722,-1.512133266,Bottom,31.2816,70.6265,-162.2487
AMBON2015, ML6.6,5.257,-1.504547825,Surface,31.0191,70.7257,-161.9403
AMBON2015, ML6.6,34.668,-1.426415219,Bottom,31.4466,70.7257,-161.9403
AMBON2015, ML6.7,2.978,-1.778195393,Surface,30.7358,70.8435,-161.5382
AMBON2015, ML6.7,40.033,-1.738655534,Bottom,31.6685,70.8435,-161.5382
AMBON2015, ML6.8,4.708,-1.901354291,Surface,30.4059,70.9595,-161.1378
AMBON2015, ML6.8,36.312,-1.28003924,Bottom,31.5731,70.9595,-161.1378
AMBON2015, ML6.9,6.232,-1.865125062,Surface,30.4976,71.0753,-160.7348
AMBON2015, ML6.9,47.394,-0.859162436,Bottom,32.1497,71.0753,-160.7348
AMBON2017,DBO3.8,49.273,-1.11,Bottom,32.6334,67.66694,-168.95538
AMBON2017,DBO3.8,5.459,-1.1,Surface,32.7123,67.66742,-168.95445
AMBON2017,DBO3.7,46.631,-1.03,Bottom,32.7585,67.78353,-168.60472
AMBON2017,DBO3.7,4.918,-1.34,Surface,31.9988,67.78382,-168.60422
AMBON2017,DBO3.6,53.54,-1.06,Bottom,32.5158,67.897,-168.23678
AMBON2017,DBO3.6,5.193,-1.29,Surface,32.0763,67.89699,-168.23683
AMBON2017,DBO3.5,48.571,-1.05,Bottom,32.2431,68.01186,-167.86674
AMBON2017,DBO3.5,5.104,-1.16,Surface,32.013,68.01162,-167.86582
AMBON2017,DBO3.4,48.143,-1.17,Bottom,32.0534,68.12426,-167.49794
AMBON2017,DBO3.4,4.534,-1.11,Surface,31.7187,68.12448,-167.49804
AMBON2017,DBO3.3,45.152,-1.16,Bottom,31.847,68.18608,-167.30599
AMBON2017,DBO3.3,5.071,-1.1,Surface,31.6414,68.18638,-167.30754
AMBON2017,DBO3.2,40.101,-1.39,Bottom,31.4736,68.2436,-167.12538
AMBON2017,DBO3.2,5.785,-1.22,Surface,31.456,68.2436,-167.127
AMBON2017,DBO3.1,31.754,-1.71,Bottom,31.0125,68.2996,-166.93871
AMBON2017,DBO3.1,5.099,-3.13,Surface,28.2674,68.29939,-166.94236
AMBON2017,CL3,48.797,-1.16,Bottom,32.3296,69.03348,-168.8928
AMBON2017,CL3,4.727,-1.16,Surface,32.2469,69.03283,-168.89216
AMBON2017,CL2,45.858,-1.11,Bottom,32.2199,69.02876,-167.9342
AMBON2017,CL2,3.886,-1.69,Surface,31.4909,69.02878,-167.93434
AMBON2017,CL1,43.177,-1.4,Bottom,31.8719,68.94854,-166.90667
AMBON2017,CL1,4.561,-2.02,Surface,31.0787,68.94828,-166.90636
AMBON2017,CL0,27.006,-2.44,Bottom,31.0553,68.89962,-166.42598
AMBON2017,CL0,3.884,-3.21,Surface,28.2964,68.9017,-166.42555
AMBON2017,ML6.1,28.458,-1.76,Bottom,31.271,70.08718,-163.96024
AMBON2017,ML6.1,5.062,-2.24,Surface,30.5596,70.08697,-163.95998
AMBON2017,ML6.2,26.474,-1.76,Bottom,31.1892,70.2675,-163.407
AMBON2017,ML6.2,5.203,-2.02,Surface,30.5772,70.26782,-163.40315
AMBON2017,ML6.3,27.515,-1.8,Bottom,31.3271,70.38926,-163.0238
AMBON2017,ML6.3,5.213,-1.89,Surface,30.8993,70.38936,-163.01942
AMBON2017,ML6.4,29.207,-1.68,Bottom,31.3778,70.50918,-162.64199
AMBON2017,ML6.4,4.172,-1.99,Surface,31.0127,70.50964,-162.64091
AMBON2017,ML6.5,35.462,-1.63,Bottom,31.5357,70.62648,-162.24516
AMBON2017,ML6.5,4.861,-1.64,Surface,31.2258,70.62637,-162.24476
AMBON2017,ML6.6,39.233,-1.64,Bottom,31.784,70.72576,-161.93728
AMBON2017,ML6.6,4.559,-1.64,Surface,31.3354,70.72556,-161.93613
AMBON2017,ML6.7,42.631,-1.32,Bottom,32.1637,70.84372,-161.5373
AMBON2017,ML6.7,5.234,-1.29,Surface,32.2112,70.84352,-161.53832
AMBON2017,ML6.8,41.608,-1.02,Bottom,32.6693,70.96026,-161.13337
AMBON2017,ML6.8,5.038,-1.81,Surface,31.8085,70.96008,-161.12831
AMBON2017,ML6.9,50.311,-1.1,Bottom,32.6232,71.07506,-160.73716
AMBON2017,ML6.9,4.438,-2.06,Surface,31.5231,71.07638,-160.73328
AMBON2017,ML6.10,48.898,-1.5,Bottom,32.304,71.1938,-160.27036
AMBON2017,ML6.10,4.726,-2.08,Surface,31.075,71.19258,-160.26985
AMBON2017,ML6.11,46.739,-1.47,Bottom,32.3213,71.36094,-159.69385
AMBON2017,ML6.11,4.397,-2.07,Surface,30.4196,71.36016,-159.69524
AMBON2017,ML4.3,52.489,-1.18,Bottom,32.6018,71.06272,-159.88312
AMBON2017,ML4.3,5.116,-2.01,Surface,31.3222,71.06252,-159.88211
AMBON2017,ML4.2,41.153,-1.49,Bottom,31.6199,70.9326,-159.50394
AMBON2017,ML4.2,9.838,-2.13,Surface,30.5494,70.93215,-159.50234
AMBON2017,ML4.1,26.731,-2.15,Bottom,30.5196,70.89181,-159.39683
AMBON2017,ML4.1,5.046,-2.24,Surface,30.5449,70.89096,-159.3978
AMBON2017,ML4.5,44.679,-1.59,Bottom,32.1573,71.3234,-160.65781
AMBON2017,ML4.5,4.304,-2.02,Surface,30.8735,71.32236,-160.65989
AMBON2017,ML4.6,41.864,-1.57,Bottom,32.2267,71.45456,-161.03799
AMBON2017,ML4.6,4.591,-2.06,Surface,31.1497,71.45448,-161.03878
AMBON2017,ML4.7,42.69,-1.42,Bottom,32.2977,71.58786,-161.40288
AMBON2017,ML4.7,3.894,-2.02,Surface,31.2312,71.58787,-161.40372
AMBON2017,ML4.8,41.919,-1.62,Bottom,32.1218,71.71932,-161.77368
AMBON2017,ML4.8,4.71,-2.32,Surface,30.5093,71.71892,-161.77394
AMBON2017,ML4.9,37.15,-1.75,Bottom,31.904,71.85028,-162.16002
AMBON2017,ML4.9,5.368,-2.29,Surface,30.3656,71.84937,-162.1647
AMBON2017,ML4.10,29.821,-1.99,Bottom,31.654,71.9807,-162.54394
AMBON2017,ML4.10,5.048,-2.25,Surface,30.1558,71.9808,-162.54701
AMBON2017,ML4.11,34.516,-1.36,Bottom,32.3984,72.10988,-162.92306
AMBON2017,ML4.11,4.608,-2.03,Surface,31.3637,72.10956,-162.92562
AMBON2017,ML4.12,34.332,-1.07,Bottom,32.6519,72.2389,-163.31891
AMBON2017,ML4.12,5.198,-1.73,Surface,31.4593,72.23802,-163.32378
AMBON2017,ML4.13,40.582,-1.01,Bottom,32.5872,72.36434,-163.72254
AMBON2017,ML4.13,4.297,-1.15,Surface,31.797,72.3645,-163.72252
AMBON2017,ML4.14,45.794,-1.14,Bottom,32.5275,72.49686,-164.10306
AMBON2017,ML4.14,4.617,-1.96,Surface,31.1126,72.49658,-164.10236
AMBON2017,ML5.10,41.117,-1.55,Bottom,32.2429,71.60314,-162.20442
AMBON2017,ML5.10,4.261,-2.12,Surface,31.312,71.60311,-162.20377
AMBON2017,ML5.9,41.664,-1.64,Bottom,32.1898,71.48278,-162.60448
AMBON2017,ML5.9,4.267,-2.06,Surface,31.2892,71.4826,-162.60406
AMBON2017,ML3.14,39.8,-1.08,Bottom,32.6528,72.12083,-165.35805
AMBON2017,ML3.14,5.121,-1.56,Surface,32.0066,72.12157,-165.35571
AMBON2017,ML3.13,35.494,-1.39,Bottom,32.6811,71.99274,-164.9507
AMBON2017,ML3.13,4.51,-1.69,Surface,31.7967,71.99299,-164.94745
AMBON2017,ML3.12,36.193,-1.08,Bottom,32.6382,71.86978,-164.55542
AMBON2017,ML3.12,4.305,-1.71,Surface,31.8641,71.86956,-164.55187
AMBON2017,ML3.11,5.066,-1.89,Surface,31.5553,71.74378,-164.15912
AMBON2017,ML3.10,38.673,-1.3,Bottom,32.3267,71.617,-163.76572
AMBON2017,ML3.10,4.84,-1.86,Surface,31.4862,71.61722,-163.76548
AMBON2017,ML3.9,38.434,-1.53,Bottom,32.2407,71.49182,-163.38376
AMBON2017,ML3.9,5.213,-2.11,Surface,31.2514,71.49212,-163.37972
AMBON2017,ML3.8,40.845,-1.42,Bottom,32.2507,71.36184,-163.00265
AMBON2017,ML3.8,4.382,-2.15,Surface,31.1927,71.3621,-163.00112
AMBON2017,ML3.7,43.09,-1.38,Bottom,32.2655,71.23384,-162.62866
AMBON2017,ML3.7,4.714,-2.15,Surface,31.198,71.23482,-162.62662
AMBON2017,ML3.6,43.068,-1.85,Bottom,32.0929,71.10418,-162.25284
AMBON2017,ML3.6,3.845,-2.09,Surface,30.9447,71.10538,-162.25074
AMBON2017,ML3.5,42.465,-1.55,Bottom,32.1369,70.9724,-161.90108
AMBON2017,ML3.5,4.355,-2.11,Surface,30.6024,70.97288,-161.89995
AMBON2017,ML3.4,42.696,-1.35,Bottom,32.2583,70.84362,-161.53762
AMBON2017,ML3.4,4.886,-1.38,Surface,32.2663,70.84378,-161.53734
AMBON2017,ML3.3,40.238,-1.38,Bottom,32.2738,70.7143,-161.17867
AMBON2017,ML3.3,4.715,-1.37,Surface,32.2309,70.71444,-161.1783
AMBON2017,ML3.2,26.148,-1.33,Bottom,32.0994,70.578,-160.83332
AMBON2017,ML3.2,4.826,-1.53,Surface,31.6743,70.57815,-160.83275
AMBON2017,ML3.1,14.887,-1.92,Bottom,30.8636,70.49607,-160.62121
AMBON2017,ML3.1,4.287,-1.98,Surface,30.8495,70.49629,-160.62144
AMBON2017,ML1.1,12.32,-2.42,Bottom,30.0654,70.03714,-162.76498
AMBON2017,ML1.1,6.537,-2.44,Surface,29.9456,70.03752,-162.76387
AMBON2017,ML1.2,20.116,-1.92,Bottom,31.111,70.14238,-163.0506
AMBON2017,ML1.2,4.555,-1.94,Surface,31.1177,70.14288,-163.04932
AMBON2017,ML1.3,28.646,-1.5,Bottom,31.727,70.26667,-163.40761
AMBON2017,ML1.3,4.942,-1.92,Surface,31.07,70.26674,-163.40745
AMBON2017,ML1.4,34.055,-1.39,Bottom,32.0906,70.39794,-163.76488
AMBON2017,ML1.4,4.789,-1.71,Surface,31.368,70.3978,-163.7642
AMBON2017,ML1.5,41.727,-1.16,Bottom,32.4007,70.52412,-164.12553
AMBON2017,ML1.5,5.39,-1.82,Surface,31.3078,70.52448,-164.12688
AMBON2017,ML1.6,44.484,-1.04,Bottom,32.6416,70.64666,-164.50142
AMBON2017,ML1.7,37.406,-1.1,Bottom,32.6088,70.77153,-164.88254
AMBON2017,ML1.7,4.993,-1.31,Surface,32.0934,70.77112,-164.88328
AMBON2017,ML1.8,38.698,-1.17,Bottom,32.4448,70.89728,-165.25212
AMBON2017,ML1.8,4.722,-1.3,Surface,31.9401,70.89694,-165.25288
AMBON2017,ML1.9,40.14,-1,Bottom,32.5775,71.0203,-165.64268
AMBON2017,ML1.9,6.307,-1.18,Surface,31.9876,71.01998,-165.64522
AMBON2017,ML1.10,39.086,-0.9,Bottom,32.5912,71.14158,-166.03344
AMBON2017,ML1.10,4.668,-1.3,Surface,32.0905,71.14116,-166.0346
AMBON2017,ML1.11,42.273,-0.96,Bottom,32.5954,71.26638,-166.42041
AMBON2017,ML1.11,4.786,-1.2,Surface,32.2184,71.26634,-166.42066
AMBON2017,ML1.12,44.051,-0.9,Bottom,32.6623,71.38642,-166.81979
AMBON2017,ML1.12,5.511,-1.13,Surface,32.1975,71.38614,-166.82002
AMBON2017,ML1.13,46.078,-0.86,Bottom,32.6673,71.50746,-167.21934
AMBON2017,ML1.13,4.784,-1.22,Surface,32.0303,71.50742,-167.21907
AMBON2017,ML5.7,40.761,-1.02,Bottom,32.4541,71.2412,-163.4045
AMBON2017,ML5.7,4.73,-1.7,Surface,31.6997,71.2412,-163.40603
AMBON2017,ML5.6,40.738,-1.03,Bottom,32.4917,71.11844,-163.80356
AMBON2017,ML5.6,4.266,-1.88,Surface,31.7067,71.1183,-163.80356
AMBON2017,ML5.5,40.221,-1.29,Bottom,32.6236,71.14672,-164.4855
AMBON2017,ML5.5,3.687,-1.7,Surface,31.9304,71.14676,-164.486
