Station,Bottle #,Date UTC,data type,sigma-t,sigma-t (2),salinity,salinity (2),depth (m),depth (m),temperature,temperature-2,conductivity-1,conductivity=2,V0,V1,V2,V3,V4,V5,V6,V7,altimeter (m),beam attenuation,beam transmission,fluorescence,oxygen (�mols kg-1),PAR,latitude,longitude,
AMBON2015_002,,,min,,,,,43.901,43.458,3.8198,3.8191,3.052065,3.051743,0,2.4078,0.0598,0,2.6593,0,0.1233,0.0098,2.47,2.1804,56.373,0.0671,253.937,1E-12,67.66836,-168.95474,4310
AMBON2015_002,,,max,,,,,44.152,43.706,3.8203,3.8195,3.05217,3.051811,0,2.4103,0.0647,0,2.735,0,0.1807,0.0098,3.61,2.2927,57.9783,0.0793,254.816,1E-12,67.66836,-168.95474,4358
AMBON2015_002,4,11-Aug-15,mean,26.0107,26.0084,32.7453,32.7423,44.09,43.645,3.8201,3.8193,3.052126,3.051806,0,2.4122,0.0587,0,2.6927,0,0.111,0.0098,2.22,2.243,57.0806,0.0644,254.748,1E-12,67.6684,-168.95474,4503
AMBON2015_002,,20:20:56,sdev,,,,,0.358,0.354,0.0002,0.0002,0.000019,0.000016,0,0.0006,0.0012,0,0.0263,0,0.0218,0,0.44,0.039,0.5574,0.003,0.222,0,0.00001,0,14
AMBON2015_002,,,min,,,,,43.616,43.176,3.8198,3.819,3.052081,3.051766,0,2.4115,0.0574,0,2.6679,0,0.0733,0.0098,1.47,2.1893,56.5542,0.061,254.372,1E-12,67.66838,-168.95474,4479
AMBON2015_002,,,max,,,,,44.667,44.217,3.8205,3.8196,3.052165,3.05184,0,2.4127,0.0598,0,2.7289,0,0.1575,0.0098,3.15,2.2799,57.8489,0.0671,255.018,1E-12,67.6684,-168.95474,4527
AMBON2015_002,5,11-Aug-15,mean,26.0106,26.008,32.7452,32.7419,43.822,43.38,3.8207,3.8197,3.052162,3.051799,0,2.4092,0.0592,0,2.6328,0,0.1339,0.0098,2.68,2.3332,55.8102,0.0656,254.123,1E-12,67.66843,-168.95475,4692
AMBON2015_002,,20:21:03,sdev,,,,,0.103,0.102,0.0001,0.0001,0.000015,0.000106,0,0.0005,0.0013,0,0.0335,0,0.0195,0,0.39,0.0504,0.7089,0.0033,0.112,0,0.00001,0.00001,14
AMBON2015_002,,,min,,,,,43.698,43.257,3.8205,3.8195,3.052126,3.051125,0,2.409,0.0574,0,2.6117,0,0.0989,0.0098,1.98,2.2307,55.3632,0.061,253.957,1E-12,67.66842,-168.95476,4668
AMBON2015_002,,,max,,,,,44.098,43.653,3.821,3.82,3.052192,3.051873,0,2.4103,0.0611,0,2.7009,0,0.1734,0.0098,3.47,2.365,57.2533,0.0701,254.458,1E-12,67.66844,-168.95474,4716
AMBON2015_002,6,11-Aug-15,mean,26.0111,26.0087,32.7462,32.7431,30.597,30.289,3.8223,3.8214,3.051796,3.051457,0,2.426,0.0641,0,3.3037,0,0.7372,0.0098,14.74,1.4246,70.0374,0.0779,255.982,1E-12,67.6688,-168.95474,6790
AMBON2015_002,,20:22:31,sdev,,,,,0.093,0.092,0.0001,0.0001,0.000017,0.000029,0,0.0004,0.001,0,0.0036,0,0.0239,0,0.48,0.0044,0.0773,0.0026,0.141,0,0,0,14
AMBON2015_002,,,min,,,,,30.318,30.013,3.822,3.8211,3.051751,3.05132,0,2.4249,0.0623,0,3.3004,0,0.7094,0.0098,14.19,1.4168,69.9666,0.0732,255.526,1E-12,67.6688,-168.95474,6766
AMBON2015_002,,,max,,,,,30.724,30.416,3.8226,3.8216,3.051834,3.05149,0,2.4261,0.0647,0,3.3101,0,0.7863,0.0098,15.73,1.4286,70.1737,0.0793,256.125,1E-12,67.6688,-168.95474,6814
AMBON2015_002,7,11-Aug-15,mean,26.0103,26.0077,32.7466,32.7434,20.963,20.753,3.8334,3.8342,3.052348,3.05214,0,2.4304,0.0854,0,3.485,0,0.8094,0.2285,16.19,1.2109,73.8816,0.131,256,0.0606,67.66906,-168.95468,8385
AMBON2015_002,,20:23:37,sdev,,,,,0.112,0.111,0.0004,0.0005,0.000036,0.000041,0,0.0007,0.0009,0,0.0216,0,0.0485,0.0113,0.97,0.0248,0.4571,0.0021,0.263,0.00399,0,0.00001,14
AMBON2015_002,,,min,,,,,20.783,20.574,3.8325,3.8335,3.052252,3.052048,0,2.4298,0.0842,0,3.453,0,0.7399,0.2088,14.8,1.1887,73.2031,0.1281,255.65,0.0538,67.66906,-168.95468,8361
AMBON2015_002,,,max,,,,,21.183,20.97,3.8341,3.8349,3.052423,3.052224,0,2.4322,0.0867,0,3.5043,0,0.9219,0.2527,18.44,1.2477,74.2906,0.1342,256.64,0.0694,67.66906,-168.95468,8409
AMBON2015_002,8,11-Aug-15,mean,25.8884,25.846,32.702,32.685,17.895,17.716,4.6821,4.9492,3.120415,3.141713,0,2.8787,0.4672,0,3.0315,0,1.1364,0.5959,22.73,1.7689,64.2644,1.0855,305.821,0.265,67.66941,-168.95474,10438
AMBON2015_002,,20:25:03,sdev,,,,,0.298,0.295,0.0961,0.164,0.008075,0.014108,0,0.0132,0.0023,0,0.0298,0,0.0322,0.0349,0.64,0.0397,0.6317,0.0057,9.618,0.0277,0.00001,0,14
AMBON2015_002,,,min,,,,,17.537,17.361,4.5189,4.5624,3.106984,3.109806,0,2.8645,0.4579,0,2.9402,0,1.0965,0.5189,21.93,1.741,62.3283,1.0622,292.591,0.206,67.6694,-168.95474,10414
AMBON2015_002,,,max,,,,,18.588,18.401,4.7993,5.27,3.132746,3.168736,0,2.8999,0.4689,0,3.0525,0,1.2002,0.6288,24,1.891,64.7104,1.0897,319.116,0.292,67.66942,-168.95474,10462
AMBON2015_002,9,11-Aug-15,mean,25.6899,25.6876,32.6488,32.6457,9.731,9.634,6.0423,6.0415,3.231858,3.231516,0,3.5046,0.3752,0,3.3795,0,1.643,1.6083,32.86,1.3338,71.6443,0.8556,377.412,3.62,67.66977,-168.95471,12448
AMBON2015_002,,20:26:27,sdev,,,,,0.318,0.315,0.0002,0.0002,0.000032,0.000029,0,0.0012,0.0053,0,0.0027,0,0.0296,0.0673,0.59,0.0032,0.0572,0.0133,0.065,0.591,0.00001,0.00001,14
AMBON2015_002,,,min,,,,,9.109,9.018,6.0419,6.0411,3.231782,3.23144,0,3.5018,0.3687,0,3.3761,0,1.6093,1.5336,32.19,1.3278,71.5719,0.8394,377.278,3,67.66976,-168.95472,12424
AMBON2015_002,,,max,,,,,10.105,10.004,6.0427,6.0421,3.231918,3.231579,0,3.5067,0.381,0,3.3846,0,1.6996,1.7302,33.99,1.3379,71.7532,0.8699,377.529,4.77,67.66978,-168.9547,12472
AMBON2015_002,10,11-Aug-15,mean,25.6895,25.6872,32.6484,32.6453,5.038,4.988,6.0431,6.0426,3.23169,3.231372,0,3.5158,0.383,0,3.3975,0,1.5941,2.3048,31.88,1.3125,72.0269,0.8751,377.592,18.3,67.67004,-168.95469,13998
AMBON2015_002,,20:27:31,sdev,,,,,0.29,0.287,0.0003,0.0002,0.000021,0.000019,0,0.0006,0.0057,0,0.0059,0,0.0539,0.0501,1.08,0.0069,0.1243,0.0142,0.198,2.14,0,0,14
AMBON2015_002,,,min,,,,,4.469,4.424,6.0426,6.0421,3.231639,3.231317,0,3.514,0.3785,0,3.3895,0,1.4835,2.2418,29.67,1.3033,71.8567,0.8638,377.327,15.7,67.67004,-168.9547,13974
AMBON2015_002,,,max,,,,,5.363,5.309,6.0437,6.043,3.231741,3.231404,0,3.5165,0.3919,0,3.4054,0,1.696,2.3785,33.92,1.322,72.1933,0.8974,377.93,21.5,67.67004,-168.95468,14022
AMBON2015_003,1,11-Aug-15,mean,25.957,25.9547,32.6898,32.687,42.996,42.562,3.9189,3.9185,3.055751,3.055477,0,2.4047,0.0556,0,2.8691,0,0.2262,0.0098,4.52,1.9892,60.8207,0.0564,252.852,1E-12,67.78436,-168.60538,5903
AMBON2015_003,,23:19:01,sdev,,,,,0.079,0.078,0.0004,0.0008,0.00003,0.000054,0,0.0006,0.0007,0,0.0302,0,0.0117,0,0.23,0.042,0.6395,0.0015,0.146,0,0,0,14
AMBON2015_003,,,min,,,,,42.892,42.459,3.9181,3.9172,3.055686,3.055354,0,2.4042,0.0549,0,2.8352,0,0.2063,0.0098,4.13,1.9446,60.1015,0.0549,252.624,1E-12,67.78436,-168.60538,5879
AMBON2015_003,,,max,,,,,43.197,42.761,3.9195,3.9194,3.055808,3.055552,0,2.4054,0.0562,0,2.9011,0,0.2503,0.0098,5.01,2.0365,61.4997,0.0579,253.162,1E-12,67.78436,-168.60538,5927
AMBON2015_003,2,11-Aug-15,mean,25.9571,25.955,32.6897,32.687,31.281,30.966,3.9161,3.9153,3.054989,3.054698,0,2.4091,0.0533,0,2.8994,0,0.846,0.0098,16.92,1.9469,61.4643,0.0508,253.026,1E-12,67.78476,-168.60568,8432
AMBON2015_003,,23:20:46,sdev,,,,,0.25,0.247,0.0002,0.0002,0.000025,0.000023,0,0.0007,0.0009,0,0.0108,0,0.0106,0,0.21,0.0148,0.2281,0.0023,0.204,0,0,0.00001,14
AMBON2015_003,,,min,,,,,30.718,30.409,3.9158,3.915,3.05494,3.054641,0,2.4078,0.0525,0,2.8889,0,0.8315,0.0098,16.63,1.9144,61.2408,0.0488,252.551,1E-12,67.78476,-168.60568,8408
AMBON2015_003,,,max,,,,,31.559,31.241,3.9164,3.9156,3.055029,3.054749,0,2.4103,0.0549,0,2.9231,0,0.8755,0.0098,17.51,1.9614,61.9658,0.0549,253.392,1E-12,67.78476,-168.60568,8456
AMBON2015_003,3,11-Aug-15,mean,25.8538,25.8515,32.6761,32.6732,21.444,21.229,4.8137,4.8135,3.129548,3.129274,0,2.9321,0.1557,0,3.9448,0,1.3943,0.0098,27.89,0.715,83.6326,0.3068,315.536,1E-12,67.78532,-168.60614,11489
AMBON2015_003,,23:22:54,sdev,,,,,0.174,0.172,0.0049,0.0044,0.000378,0.00045,0,0.0017,0.0047,0,0.008,0,0.0125,0,0.25,0.0081,0.1686,0.0118,0.739,0,0,0,14
