,datasetID,eventID,occurrenceID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,scientificName,scientificNameID,taxonID,nomenclaturalCode,basisOfRecord
31,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_7809,2017-08-17T15:24:00,13,70.0357,-162.766,Limacina helicina,urn:lsid:marinespecies.org:taxname:140223,140223,WoRMS,HumanObservation
32,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8042,2017-08-17T15:24:00,13,70.0357,-162.766,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,157679,WoRMS,HumanObservation
33,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_6831,2017-08-17T15:24:00,13,70.0357,-162.766,Obelia longissima,urn:lsid:marinespecies.org:taxname:117389,117389,WoRMS,HumanObservation
34,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8103,2017-08-17T15:24:00,13,70.0357,-162.766,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS,HumanObservation
35,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_9911,2017-08-17T15:24:00,13,70.0357,-162.766,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:10544,10544,WoRMS,HumanObservation
36,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_5016,2017-08-17T15:24:00,13,70.0357,-162.766,Pseudocalanus acuspes,urn:lsid:marinespecies.org:taxname:104514,104514,WoRMS,HumanObservation
37,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_2875,2017-08-17T15:24:00,13,70.0357,-162.766,Cirripedia,urn:lsid:marinespecies.org:taxname:1082,1082,WoRMS,HumanObservation
38,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_2574,2017-08-17T15:24:00,13,70.0357,-162.766,Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,123084,WoRMS,HumanObservation
39,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8911,2017-08-17T15:24:00,13,70.0357,-162.766,Podon leuckartii,urn:lsid:marinespecies.org:taxname:106277,106277,WoRMS,HumanObservation
40,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8139,2017-08-17T15:24:00,13,70.0357,-162.766,Fritillaria borealis,urn:lsid:marinespecies.org:taxname:103375,103375,WoRMS,HumanObservation
41,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8417,2017-08-17T15:24:00,13,70.0357,-162.766,Eurytemora herdmani,urn:lsid:marinespecies.org:taxname:15767,15767,WoRMS,HumanObservation
42,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_7488,2017-08-17T15:24:00,13,70.0357,-162.766,Gastropoda,urn:lsid:marinespecies.org:taxname:101,101,WoRMS,HumanObservation
43,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3229,2017-08-17T15:24:00,13,70.0357,-162.766,Eurytemora,urn:lsid:marinespecies.org:taxname:10424,10424,WoRMS,HumanObservation
44,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_5235,2017-08-17T15:24:00,13,70.0357,-162.766,Melicertum octocostatum,urn:lsid:marinespecies.org:taxname:117743,117743,WoRMS,HumanObservation
45,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_6623,2017-08-17T15:24:00,13,70.0357,-162.766,Echinodermata,urn:lsid:marinespecies.org:taxname:1806,1806,WoRMS,HumanObservation
46,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_4052,2017-08-17T15:24:00,13,70.0357,-162.766,Calanoida,urn:lsid:marinespecies.org:taxname:11,11,WoRMS,HumanObservation
47,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_6506,2017-08-17T15:24:00,13,70.0357,-162.766,Echinodermata,urn:lsid:marinespecies.org:taxname:1806,1806,WoRMS,HumanObservation
48,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_8682,2017-08-17T15:24:00,13,70.0357,-162.766,Bivalvia,urn:lsid:marinespecies.org:taxname:105,105,WoRMS,HumanObservation
49,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3335,2017-08-17T15:24:00,13,70.0357,-162.766,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS,HumanObservation
50,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3960,2017-08-17T15:24:00,13,70.0357,-162.766,Acartia hudsonica,urn:lsid:marinespecies.org:taxname:157664,157664,WoRMS,HumanObservation
51,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,AMBON_Zooplankton_2017_ML1.1_3811,2017-08-17T15:24:00,13,70.0357,-162.766,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,104257,WoRMS,HumanObservation
