,eventID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,basisOfRecord
3803,AMBON_Zooplankton_2017_ML4.14_2017-08-14T02:13:00,2017-08-14T02:13:00,47,72.4969,-164.0796,HumanObservation
3825,AMBON_Zooplankton_2017_ML5.1_2017-08-20T10:35:00,2017-08-20T10:35:00,40,70.6563,-165.9955,HumanObservation
3840,AMBON_Zooplankton_2017_ML5.2_2017-08-20T07:09:00,2017-08-20T07:09:00,39,70.7738,-165.6236,HumanObservation
3856,AMBON_Zooplankton_2017_ML5.4_2017-08-20T02:10:00,2017-08-20T02:10:00,33,71.0192,-164.8552,HumanObservation
3873,AMBON_Zooplankton_2017_ML5.5_2017-08-19T23:01:00,2017-08-19T23:01:00,40,71.1541,-164.4851,HumanObservation
3890,AMBON_Zooplankton_2017_ML5.6_2017-08-19T19:15:00,2017-08-19T19:15:00,41,71.1194,-163.7979,HumanObservation
3917,AMBON_Zooplankton_2017_ML5.7_2017-08-19T16:28:00,2017-08-19T16:28:00,42,71.241,-163.398,HumanObservation
3942,AMBON_Zooplankton_2017_ML5.9_2017-08-15T02:29:00,2017-08-15T02:29:00,42,71.4804,-162.5925,HumanObservation
3975,AMBON_Zooplankton_2017_ML5.10_2017-08-14T22:47:00,2017-08-14T22:47:00,42,71.5991,-162.197,HumanObservation
4005,AMBON_Zooplankton_2017_ML6.1_2017-08-09T10:45:00,2017-08-09T10:45:00,30,70.0872,-163.9665,HumanObservation
4021,AMBON_Zooplankton_2017_ML6.2_2017-08-09T14:55:00,2017-08-09T14:55:00,29,70.2647,-163.4139,HumanObservation
4035,AMBON_Zooplankton_2017_ML6.3_2017-08-09T18:49:00,2017-08-09T18:49:00,30,70.3891,-163.0304,HumanObservation
4047,AMBON_Zooplankton_2017_ML6.4_2017-08-09T22:02:00,2017-08-09T22:02:00,34,70.5101,-162.6696,HumanObservation
4057,AMBON_Zooplankton_2017_ML6.5_2017-08-10T01:21:00,2017-08-10T01:21:00,38,70.6274,-162.2594,HumanObservation
4074,AMBON_Zooplankton_2017_ML6.6_2017-08-10T04:06:00,2017-08-10T04:06:00,39,70.7253,-161.9459,HumanObservation
4093,AMBON_Zooplankton_2017_ML6.7_2017-08-10T07:37:00,2017-08-10T07:37:00,43,70.8444,-161.518,HumanObservation
4116,AMBON_Zooplankton_2017_ML6.8_2017-08-10T10:49:00,2017-08-10T10:49:00,42,70.9594,-161.1455,HumanObservation
4139,AMBON_Zooplankton_2017_ML6.9_2017-08-10T15:15:00,2017-08-10T15:15:00,54,71.072,-160.7433,HumanObservation
4158,AMBON_Zooplankton_2017_ML6.10_2017-08-11T20:54:00,2017-08-11T20:54:00,51,71.196,-160.2652,HumanObservation
4185,AMBON_Zooplankton_2017_ML6.11_2017-08-12T01:55:00,2017-08-12T01:55:00,48,71.3535,-159.7062,HumanObservation
4211,AMBON_Zooplankton_2017_BBL2_2017-08-21T01:47:00,2017-08-21T01:47:00,20,69.4503,-163.9288,HumanObservation
4233,AMBON_Zooplankton_2017_BBL3_2017-08-21T04:38:00,2017-08-21T04:38:00,24,69.5473,-164.4248,HumanObservation
4254,AMBON_Zooplankton_2017_BBL4_2017-08-21T09:24:00,2017-08-21T09:24:00,29,69.641,-164.8131,HumanObservation
4274,AMBON_Zooplankton_2017_BBL5_2017-08-21T12:15:00,2017-08-21T12:15:00,33,69.73100000000001,-165.2104,HumanObservation
4294,AMBON_Zooplankton_2017_BBL6_2017-08-21T15:12:00,2017-08-21T15:12:00,38,69.8194,-165.6261,HumanObservation
4315,AMBON_Zooplankton_2017_BBL7_2017-08-21T22:13:00,2017-08-21T22:13:00,42,69.9114,-166.0658,HumanObservation
4346,AMBON_Zooplankton_2017_BBL8_2017-08-22T01:22:00,2017-08-22T01:22:00,44,70.0066,-166.4688,HumanObservation
4366,AMBON_Zooplankton_2017_BBL9_2017-08-22T04:28:00,2017-08-22T04:28:00,45,70.0992,-166.9102,HumanObservation
4386,AMBON_Zooplankton_2017_BBL10_2017-08-22T07:47:00,2017-08-22T07:47:00,48,70.1876,-167.3648,HumanObservation
4405,AMBON_Zooplankton_2017_BBL11_2017-08-22T11:08:00,2017-08-22T11:08:00,46,70.2848,-167.8161,HumanObservation
4418,AMBON_Zooplankton_2017_BBL12_2017-08-22T13:56:00,2017-08-22T13:56:00,43,70.3697,-168.285,HumanObservation
4430,AMBON_Zooplankton_2017_CL0_2017-08-08T17:01:00,2017-08-08T17:01:00,29,68.8976,-166.4278,HumanObservation
4460,AMBON_Zooplankton_2017_CL1_2017-08-08T13:27:00,2017-08-08T13:27:00,44,68.9471,-166.916,HumanObservation
4488,AMBON_Zooplankton_2017_CL2_2017-08-08T08:18:00,2017-08-08T08:18:00,47,69.0289,-167.9353,HumanObservation
4517,AMBON_Zooplankton_2017_CL3_2017-08-08T02:48:00,2017-08-08T02:48:00,50,69.0367,-168.8934,HumanObservation
4545,AMBON_Zooplankton_2017_DBO3.2_2017-08-07T15:23:00,2017-08-07T15:23:00,41,68.238,-167.1225,HumanObservation
4578,AMBON_Zooplankton_2017_DBO3.4_2017-08-07T09:17:00,2017-08-07T09:17:00,48,68.124,-167.4979,HumanObservation
4602,AMBON_Zooplankton_2017_DBO3.5_2017-08-07T05:34:00,2017-08-07T05:34:00,51,68.009,-167.8681,HumanObservation
4630,AMBON_Zooplankton_2017_DBO3.6_2017-08-07T02:23:00,2017-08-07T02:23:00,56,67.8921,-168.226,HumanObservation
4662,AMBON_Zooplankton_2017_DBO3.7_2017-08-06T23:04:00,2017-08-06T23:04:00,48,67.7779,-168.6052,HumanObservation
4699,AMBON_Zooplankton_2017_DBO3.8_2017-08-06T19:33:00,2017-08-06T19:33:00,45,67.6645,-168.9554,HumanObservation
