taxon,species2015,species2017
Pelonaia corrugata,Pelonaia corrugata,Pelonaia corrugata
Styela rustica,Styela rustica,Styela rustica
Styela rustica,Styela sp.,
Actiniaria,Actiniaria,Actiniaria
Allantactis parasitica,Allantactis parasitica,
Metridium,,Metridium
Stomphia,Stomphia sp.,Stomphia
Urticina,Urticina sp.,
Tubularia,Tubularia sp.,
Amphiodia craterodmeta,Amphiodia craterodmeta,Amphiodia craterodmeta
Amphiura sundevalli,Amphiura sundevalli,Amphiura sundevalli
Ophiopholis aculeata,Ophiopholis aculeata,Ophiopholis aculeata
Myriotrochus rinkii,Myriotrochus rinkii,Myriotrochus rinkii
other.unid,,Asteroidea
Strongylocentrotus pallidus,Strongylocentrotus pallidus,Strongylocentrotus pallidus
Echinarachnius parma,Echinarachnius parma,Echinarachnius parma
Ocnus glacialis,Ocnus glacialis,Ocnus glacialis
Psolus peronii,Psolus peronii,Psolus peronii
Psolus phantapus,Psolus phantapus,Psolus phantapus
Gorgonocephalus,Gorgonocephalus sp.,Gorgonocephalus
Asterias amurensis,Asterias amurensis,Asterias amurensis
Evasterias echinosoma,Evasterias echinosoma,Evasterias echinosoma
Leptasterias arctica,Leptasterias arctica,Leptasterias arctica
Leptasterias groenlandica,Leptasterias groenlandica,Leptasterias groenlandica
Leptasterias polaris,Leptasterias polaris,Leptasterias (Hexasterias) polaris
Lethasterias nanimensis,Lethasterias nanimensis,Lethasterias nanimensis
Urasterias lincki,,Urasterias lincki
Holothuroidea,Holothuroidea,Holothuroidea
Eupyrgus scaber,,Eupyrgus scaber
Ophiacantha bidentata,,Ophiacantha bidentata
Ophiocten sericeum,Ophiocten sericeum,Ophiocten sericeum
Ophiura robusta,Ophiura robusta,Ophiura robusta
Ophiura sarsii,Ophiura sarsii,Ophiura sarsii
Stegophiura nodosa,Stegophiura nodosa,Stegophiura nodosa
other.unid,Ophiuroidea,
Ctenodiscus crispatus,Ctenodiscus crispatus,Ctenodiscus crispatus
Henricia,Henricia sp.,Henricia
Henricia,Henricia tumida,Henricia tumida
Crossaster papposus,Crossaster papposus,Crossaster papposus
